Name,Yelp_stars,Yelp_review,Instagram_checkin
Alexion's Bar & Grill,4.0,21,16
Steak 'n Shake,2.0,48,8
Duke's Upper Deck Cafe,3.5,26,12
Panera Bread,3.0,22,9
Pasquarelli's Pizza House,4.0,12,5
Rusty Nail,3.5,24,11
Tasty Chinese Restaurant,2.5,21,2
Tazza D'oro Cafe & Espresso Bar,4.5,106,5
Casbah,4.0,251,11
Quiet Storm Vegetarian & Vegan Cafe,4.0,146,3
Pizza Perfectta,4.0,60,3
Cafe Zinho,4.0,61,11
Max's Allegheny Tavern,4.0,140,11
China Taste,4.0,12,5
North Shore Deli,4.5,10,7
Clark Bar & Grill,3.5,11,17
Legends North Shore,4.0,83,2
Knossos Gyros & Sis-Kabob,3.5,13,3
Huddle,4.0,10,8
Tom's Diner,3.5,33,2
Beto's Pizza,4.0,127,11
Eat'n Park Restaurant,3.5,19,17
Cain's Saloon,3.5,87,13
Campiti's Don Pizzeria,3.5,31,6
D's Six Pax & Dogz,4.5,266,2
Triangle Bar & Grill,4.5,43,1
Veltre's Pizza,4.0,13,1
Vincent's of Greentree,3.5,43,8
Bossa Nova,2.5,28,9
Primanti Bros,3.5,420,1
Spaghetti Warehouse,2.5,92,8
Smithfield Cafe,3.5,16,3
Andy's Sushi Bar,4.0,43,14
Sushi Kim Restaurant,3.0,93,11
F. Tambellini Ristorante,2.0,17,4
Smallman Street Deli,4.0,24,17
Mullaneys Harp and Fiddle,3.0,30,12
China House,4.0,15,6
Cafe Sam,3.5,47,1
Graziano's Pizzeria,3.5,20,17
People's Indian Restaurant,3.5,54,12
Nico's Recovery Room,3.5,22,7
Tram's Kitchen,4.0,208,14
Ritters Diner,3.5,133,14
Silky's Pub,4.0,52,9
Boston Market,3.5,13,11
The Bloomfield Sandwich Shop,4.0,40,15
Alexander's Italian Bistro,3.5,78,12
Thai Cuisine,4.0,162,3
Fiori's Pizzaria,4.5,150,10
It's Greek To Me,4.5,21,1
Sesame Inn Chinese Restaurant,4.0,44,1
Mineo's Pizza House,4.0,32,14
Soba,4.0,207,5
Harris Grill,3.5,235,1
Cappy's Cafe,3.0,45,14
