Rank	IMDB ID	Title	Year	Rating
1	tt1375666	Inception	2010	8.8
2	tt0080684	Star Wars: Episode V - The Empire Strikes Back	1980	8.8
3	tt0133093	The Matrix	1999	8.7
4	tt0076759	Star Wars	1977	8.7
5	tt0816692	Interstellar	2014	8.6
6	tt4737600	The Rocket List	2015	8.6
7	tt1618473	Sensory Perception	2015	8.6
8	tt0027977	Modern Times	1936	8.6
9	tt0103064	Terminator 2: Judgment Day	1991	8.5
10	tt0088763	Back to the Future	1985	8.5
11	tt0482571	The Prestige	2006	8.5
12	tt2358592	Lucia	2013	8.5
13	tt0078748	Alien	1979	8.5
14	tt0070233	Ivan Vasilievich: Back to the Future	1973	8.4
15	tt2488496	Star Wars: Episode VII - The Force Awakens	2015	8.4
16	tt0910970	WALL·E	2008	8.4
17	tt3163224	The Carrier	2015	8.4
18	tt0090605	Aliens	1986	8.4
19	tt2192100	Gizem Birimi	2013	8.4
20	tt0086190	Star Wars: Episode VI - Return of the Jedi	1983	8.4
21	tt0066921	A Clockwork Orange	1971	8.4
22	tt0338013	Eternal Sunshine of the Spotless Mind	2004	8.4
23	tt1648199	Fate	2013	8.4
24	tt3283802	They Came from the Ether	2014	8.3
25	tt0062622	2001: A Space Odyssey	1968	8.3
26	tt2396224	It's Such a Beautiful Day	2012	8.3
27	tt0017136	Metropolis	1927	8.3
28	tt2338151	PK	2014	8.3
29	tt4806232	Indru Netru Naalai	2015	8.3
30	tt4427230	Red vs. Blue: Season 13	2015	8.3
31	tt0169858	Neon Genesis Evangelion: The End of Evangelion	1997	8.2
32	tt0091341	Kin-dza-dza!	1986	8.2
33	tt4307880	Digimon Adventure tri. Saikai	2015	8.2
34	tt0083658	Blade Runner	1982	8.2
35	tt2069845	Marty's Project	2010	8.2
36	tt2374144	Gintama the Movie: The Final Chapter - Be Forever Yorozuya	2013	8.2
37	tt1392190	Mad Max: Fury Road	2015	8.2
38	tt0079944	Stalker	1979	8.2
39	tt0084787	The Thing	1982	8.2
40	tt0087544	Nausicaä of the Valley of the Wind	1984	8.1
41	tt1572781	The Disappearance of Haruhi Suzumiya	2010	8.1
42	tt0848228	The Avengers	2012	8.1
43	tt5012994	Abby Sen	2015	8.1
44	tt3659388	The Martian	2015	8.1
45	tt2224219	Hamlet's Ghost	2015	8.1
46	tt3072482	Hardcore Henry	2015	8.1
47	tt0211653	The Mystery of the Third Planet	1981	8.1
48	tt5234316	Dohrnii	2015	8.1
49	tt0246578	Donnie Darko	2001	8.1
50	tt0860906	Evangelion: 2.0 You Can (Not) Advance	2009	8.1
51	tt0069293	Solaris	1972	8.1
52	tt2015381	Guardians of the Galaxy	2014	8.1
53	tt0107290	Jurassic Park	1993	8.1
54	tt0094625	Akira	1988	8.1
55	tt0114746	Twelve Monkeys	1995	8.1
56	tt0088247	The Terminator	1984	8.1
57	tt2114454	Red vs. Blue Season 9	2011	8.1
58	tt1877832	X-Men: Days of Future Past	2014	8.0
59	tt0061065	The Face of Another	1966	8.0
60	tt4195278	Telling Tales	2015	8.0
61	tt5061126	Rocky Horror Show Live	2015	8.0
62	tt1260502	Ghost in the Shell 2.0	2008	8.0
63	tt0796366	Star Trek	2009	8.0
64	tt0088846	Brazil	1985	8.0
65	tt0113568	Ghost in the Shell	1995	8.0
66	tt1798709	Her	2013	8.0
67	tt1136608	District 9	2009	8.0
68	tt0129167	The Iron Giant	1999	8.0
69	tt0021884	Frankenstein	1931	8.0
70	tt0063442	Planet of the Apes	1968	8.0
71	tt0379786	Serenity	2005	8.0
