IMDB ID,Title,Year,IMDB Rating,themoviedb Rating
tt1375666,Inception,2010,8.8,7.8
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.8,7.9
tt0133093,The Matrix,1999,8.7,7.6
tt0076759,Star Wars,1977,8.7,7.7
tt0816692,Interstellar,2014,8.6,8.2
tt0027977,Modern Times,1936,8.6,7.9
tt0103064,Terminator 2: Judgment Day,1991,8.5,7.4
tt0088763,Back to the Future,1985,8.5,7.7
tt0482571,The Prestige,2006,8.5,7.7
tt2358592,Lucia,2013,8.5,6
tt0078748,Alien,1979,8.5,7.4
tt0070233,Ivan Vasilievich: Back to the Future,1973,8.4,8
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,8.4,7.8
tt0910970,WALLÂ·E,2008,8.4,7.5
tt0090605,Aliens,1986,8.4,7.4
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,8.4,7.7
tt0066921,A Clockwork Orange,1971,8.4,7.5
tt0338013,Eternal Sunshine of the Spotless Mind,2004,8.4,7.7
tt0062622,2001: A Space Odyssey,1968,8.3,7.5
tt2396224,It's Such a Beautiful Day,2012,8.3,7.4
tt0017136,Metropolis,1927,8.3,7.7
tt2338151,PK,2014,8.3,7.8
tt4806232,Indru Netru Naalai,2015,8.3,7.4
tt0169858,Neon Genesis Evangelion: The End of Evangelion,1997,8.2,7.1
tt0091341,Kin-dza-dza!,1986,8.2,7.2
tt4307880,Digimon Adventure tri. Saikai,2015,8.2,9.5
tt0083658,Blade Runner,1982,8.2,7.6
tt2374144,Gintama the Movie: The Final Chapter - Be Forever Yorozuya,2013,8.2,6.2
tt1392190,Mad Max: Fury Road,2015,8.2,7.5
tt0079944,Stalker,1979,8.2,7.6
tt0084787,The Thing,1982,8.2,7.4
tt0087544,NausicaÃ_ of the Valley of the Wind,1984,8.1,7.8
tt1572781,The Disappearance of Haruhi Suzumiya,2010,8.1,7.6
tt0848228,The Avengers,2012,8.1,7.3
tt3659388,The Martian,2015,8.1,7.6
tt0211653,The Mystery of the Third Planet,1981,8.1,5
tt0246578,Donnie Darko,2001,8.1,7.4
tt0860906,Evangelion: 2.0 You Can (Not) Advance,2009,8.1,7.8
tt0069293,Solaris,1972,8.1,7.5
tt2015381,Guardians of the Galaxy,2014,8.1,8.1
tt0107290,Jurassic Park,1993,8.1,7.2
tt0094625,Akira,1988,8.1,7.6
tt0114746,Twelve Monkeys,1995,8.1,7.1
tt0088247,The Terminator,1984,8.1,7
tt1877832,X-Men: Days of Future Past,2014,8,7.6
tt0061065,The Face of Another,1966,8,6.4
tt4195278,Telling Tales,2015,8,4.5
tt5061126,Rocky Horror Show Live,2015,8,9
tt1260502,Ghost in the Shell 2.0,2008,8,7.5
tt0796366,Star Trek,2009,8,7.3
tt0088846,Brazil,1985,8,7.2
tt0113568,Ghost in the Shell,1995,8,7.4
tt1798709,Her,2013,8,7.9
tt1136608,District 9,2009,8,7
tt0129167,The Iron Giant,1999,8,7.3
tt0021884,Frankenstein,1931,8,6.9
tt0063442,Planet of the Apes,1968,8,7
tt0379786,Serenity,2005,8,7.3
tt0756683,The Man from Earth,2007,8,7.8
tt1182345,Moon,2009,8,7.4
tt1631867,Edge of Tomorrow,2014,7.9,7.7
tt0275277,Cowboy Bebop: The Movie,2001,7.9,7.2
